cycle,bootstrap,component,similarity
0506,79,IC2,0.9704018137344496
0506,79,IC3,0.5239071856548883
0506,80,IC1,0.7494304842852195
0506,80,IC2,0.841742728326496
0506,80,IC3,0.9821213317968563
0506,81,IC1,0.6195959714630743
0506,81,IC2,0.9893756093053994
0506,81,IC3,0.8121178067820506
0506,82,IC1,0.7304469108704796
0506,82,IC2,0.8350096401233689
0506,82,IC3,0.9651870159673904
0506,83,IC1,0.6952797603847777
0506,83,IC2,0.6365813737918222
0506,83,IC3,0.9893197613425457
0506,84,IC1,0.46492307791687076
0506,84,IC2,0.973870427484687
0506,84,IC3,0.9918931886617921
0506,85,IC1,0.8782510333159499
0506,85,IC2,0.9967950000960561
0506,85,IC3,0.9880178028975733
0506,86,IC1,0.6853018448103335
0506,86,IC2,0.7216311904927913
0506,86,IC3,0.9838482016028485
0506,87,IC1,0.5249931075046554
0506,87,IC2,0.9501078202669961
0506,87,IC3,0.8400725355968465
0506,88,IC1,0.9625812742900512
0506,88,IC2,0.9980481475918297
0506,88,IC3,0.9960413818187132
0506,89,IC1,0.5686445294093305
0506,89,IC2,0.9716912366247292
0506,89,IC3,0.9767434902594538
0506,90,IC1,0.929389707358806
0506,90,IC2,0.9954998232229475
0506,90,IC3,0.9807666555127477
0506,91,IC1,0.6745351055804705
0506,91,IC2,0.6248902081191565
0506,91,IC3,0.9907081460483864
0506,92,IC1,0.9441807082533211
0506,92,IC2,0.9952908667659488
0506,92,IC3,0.9836205197169449
0506,93,IC1,0.6762297110284631
0506,93,IC2,0.6695466575503164
0506,93,IC3,0.978287391272447
0506,94,IC1,0.6754385119683781
0506,94,IC2,0.7838018467408707
0506,94,IC3,0.9636676552053282
0506,95,IC1,0.9275504802619243
0506,95,IC2,0.9983084578314632
0506,95,IC3,0.9952787409141391
0506,96,IC1,0.9327258687862501
0506,96,IC2,0.9938974061034093
0506,96,IC3,0.9719162173590756
0506,97,IC1,0.7233688840148278
0506,97,IC2,0.6777283809302117
0506,97,IC3,0.9931508114534042
0506,98,IC1,0.9338140470722931
0506,98,IC2,0.9959421500651949
0506,98,IC3,0.9917358567557479
0506,99,IC1,0.984832095361776
0506,99,IC2,0.998095849611945
0506,99,IC3,0.9979122764120901
0506,100,IC1,0.6801605414919618
0506,100,IC2,0.713921326883606
