cycle,bootstrap,component,A,G,AG
0506,38,IC3,0.15159271782456585,0.051250021682690314,0.010808381091895664
0506,39,IC1,0.023877762345692007,0.061483755861730965,-0.04114407038556601
0506,39,IC2,0.14231228517080188,0.014914558916986906,-0.07446339850017995
0506,39,IC3,0.15609524826102916,0.05215531871548618,-0.03392719416789804
0506,40,IC1,-0.009270690285493176,0.04620682008322412,-0.04232603544432688
0506,40,IC2,0.06372301190484514,0.046050780112875805,-0.022726818836942945
0506,40,IC3,0.18369230435859893,0.10461487262566097,-0.06891057928081168
0506,41,IC1,0.10874548755977492,0.04970720933861754,-0.06008109748828768
0506,41,IC2,0.11548914848669607,0.03100269405181745,-0.03406594460172866
0506,41,IC3,-0.0020895950662794954,0.05033655938829063,-0.01881070359216549
0506,42,IC1,0.08346967770908044,-0.03829881655529295,-0.02019962277125268
0506,42,IC2,0.007699331402066731,0.06788308172451732,-0.03305429124801147
0506,42,IC3,0.07489836924092497,0.06463923133875171,-0.05972590331387569
0506,43,IC1,0.09511097217845892,0.030933139358549078,0.017737538420459092
0506,43,IC2,0.023804092750866895,0.06911313524207763,-0.06110532621672341
0506,43,IC3,0.10626241839203844,0.08516286479570792,-0.031907748804347325
0506,44,IC1,0.1028797085117347,0.06872575644474606,-0.035043217429535714
0506,44,IC2,0.07425948423302081,0.009386314314281078,-0.027768666304516368
0506,44,IC3,0.03880687734693196,0.02958056668613423,-0.023276831158420313
0506,45,IC1,-0.024530349500651916,-0.020624576429768067,0.01826666939589518
0506,45,IC2,0.02276291450255013,0.06863564099630086,-0.058686955331896676
0506,45,IC3,0.29836766342262977,0.10301022361582868,-0.0981323904245017
0506,46,IC1,0.03248124344120561,0.005963646224303165,0.01654094531569755
0506,46,IC2,0.05766632313331603,0.01763592788666943,-0.026299936811187922
0506,46,IC3,0.09078895994675626,0.07466857048551741,-0.07084254658235821
0506,47,IC1,0.07292859741948635,-0.017871310279467437,-0.048425163299768335
0506,47,IC2,0.010129424929037413,0.038662686198467015,0.030935136526362983
0506,47,IC3,0.14090325619822677,0.11398586826836249,-0.04790192091723654
0506,48,IC1,0.11544122902835487,-0.006207030369645191,-0.032747479477973115
0506,48,IC2,0.01912115125020787,0.012415269299143505,-0.04618481286394001
0506,48,IC3,0.07602590816905178,0.05076497666358036,-0.043140661007133804
0506,49,IC1,0.06899072935983265,0.07170305828136736,0.01461254297253265
0506,49,IC2,0.08564962936898418,0.025107585532568005,-0.02187523531706241
0506,49,IC3,0.11849339317111014,0.04399597623678789,-0.06720273515242306
0506,50,IC1,0.11083257221007142,0.022268361245151257,-0.15381535713015487
0506,50,IC2,-0.00453348091396422,-0.00811754434831398,0.08412067357503611
0506,50,IC3,0.1920572832227882,0.07825953094531651,-0.104565082533293
0506,51,IC1,0.06141745581303962,0.06282937697211867,-0.09095046106047686
0506,51,IC2,0.08433812409638596,0.03246066550879727,-0.008149493981628501
0506,51,IC3,0.1763790480341566,0.0628887663198309,0.0773165571126731
0506,52,IC1,-0.004024558233019905,0.05131466962772297,-0.06487942019438374
0506,52,IC2,0.036859278933377454,0.028769152025383708,0.06837425617243666
0506,52,IC3,0.15598518254655636,0.06798114418991706,-0.09762252136198829
0506,53,IC1,0.042051533393323376,0.03803616854869252,-0.012594423480940024
0506,53,IC2,-0.0038759203318113524,0.021005733532281946,0.0489618607281161
0506,53,IC3,0.06401373180382994,0.05037195658319469,0.02625506685814077
0506,54,IC1,0.10504271693601364,0.0520294498667387,-0.07609249218067754
0506,54,IC2,0.13512402674008783,0.005085380592189546,-0.025475181937656202
0506,54,IC3,0.2069426069019503,0.050200879855780596,-0.02052521325697191
0506,55,IC1,0.023475544921693552,0.022989468410483396,0.08468923476277807
0506,55,IC2,-0.00336816736065148,0.027448277129561875,0.06707439057690348
0506,55,IC3,0.11941360757291927,0.07823780080403865,-0.0815561347983925
0506,56,IC1,0.06561852640144668,0.008076945894371648,0.012119653147543943
0506,56,IC2,0.06468472354838167,-0.012596696735103548,0.013733006820032635
0506,56,IC3,0.07014161778682114,0.0746618006270264,0.009346614857555155
0506,57,IC1,0.036081983966610956,0.04026993689323101,-0.05908167233705112
0506,57,IC2,0.03952660099414275,0.02877034524714196,-0.03400108214227478
0506,57,IC3,0.11670067838765119,0.08446312661271838,-0.038422157287407374
0506,58,IC1,0.06312562608135942,0.040387270962336026,-0.13793751422109185
0506,58,IC2,0.04460918373148379,0.006911657726919105,-0.07068515023280436
0506,58,IC3,0.2201620279932744,0.08067441638740741,-0.07227472307237023
0506,59,IC1,0.08496643804670197,0.07531856903195377,-0.0725239263713828
0506,59,IC2,0.06410640796233374,-0.009167074120910173,-0.030387681634400768
0506,59,IC3,0.031460540667527744,0.04360716040591931,-0.03595827514352619
0506,60,IC1,0.16794228687299748,0.035740470402175296,-0.06362130360538124
0506,60,IC2,0.10521313170990496,0.02431197229247845,-0.07026118022677591
0506,60,IC3,0.08765840647090808,0.06640261821040762,0.0389910650122448
0506,61,IC1,0.059766209903405754,0.04581584427072323,-0.05823800606415082
0506,61,IC2,0.12470851701089258,0.028459358550178792,0.010162189096675735
0506,61,IC3,0.10671744591695827,0.06690081434467335,-0.05011134441570425
0506,62,IC1,-0.0037702591630914793,0.08822796506665691,-0.038224295373897925
0506,62,IC2,0.029583374197619916,0.030947529246327175,0.054332674896967276
0506,62,IC3,0.16481196424875943,0.07370739371571297,-0.04536533343089083
0506,63,IC1,0.05139872111651031,0.017803367238490804,-0.041389072551229075
0506,63,IC2,0.1681547000233778,0.027189757744323247,-0.05968195013237657
0506,63,IC3,0.06317662773712453,0.10104359935704191,-0.05026176267314261
0506,64,IC1,0.08002139968759907,0.07029636273954623,-0.057623110494857806
0506,64,IC2,0.05478371763622215,0.029762867184000664,-0.04378021920272626
0506,64,IC3,0.11691395404126773,0.051045494168096714,-0.0785145884807663
0506,65,IC1,0.026374462799167338,0.0022016454254054317,-0.00878328020527251
0506,65,IC2,-0.011337458899187934,0.011017481165072826,-0.0512084980033213
0506,65,IC3,0.1565360720542298,0.09457123016631935,-0.07897917588699802
0506,66,IC1,0.045996848350049524,0.06045183555774858,-0.05657600962765208
0506,66,IC2,0.1260819887621997,0.005670399091702064,-0.021676863887950235
0506,66,IC3,0.08086895547435213,0.052955874983288284,-0.020460027793166927
0506,67,IC1,0.12251308921755541,0.02843950055865129,-0.10123894038351636
0506,67,IC2,0.09069069676992436,0.0735737891039724,-0.008713309201317857
0506,67,IC3,0.09459586793160933,0.06439626197855872,-0.024390130303095232
0506,68,IC1,0.06524506395449625,0.025828906130318144,-0.034795785655769566
0506,68,IC2,0.09503799978219166,-0.0008510205447814258,-0.018380445034218658
0506,68,IC3,0.1198337986103154,0.039105257426073445,-0.02159001462200262
0506,69,IC1,0.03632900029337901,0.07179819006862911,-0.06961890652311913
0506,69,IC2,0.209495333896568,0.00831230608647522,-0.021152560799469266
0506,69,IC3,0.1268079076611985,0.06544696642285902,-0.05336991249392219
0506,70,IC1,0.13147393121154588,0.005898698393407681,-0.030619888645534336
0506,70,IC2,0.07126882743746428,-0.01841125014883061,-0.011532254102336072
0506,70,IC3,0.006920561039766602,0.060748592452954664,-0.05045972548609258
0506,71,IC1,0.10885739115305959,0.012939155399690596,-0.05349280902040433
0506,71,IC2,0.04455169467339721,0.003612371408562833,-0.006849747505031605
0506,71,IC3,0.2041008395032307,0.08962263999329795,-0.06770759112497012
0506,72,IC1,0.05941114626895137,0.06398303803502799,-0.040741633068000355
0506,72,IC2,-0.039498075250876265,0.004289931374928849,-0.028008454706113538
0506,72,IC3,0.13064507900777433,0.05702002470647068,-0.023216490298491363
0506,73,IC1,0.023163762059160712,-0.05588353048434766,-0.08795218658046428
0506,73,IC2,0.059405096780363396,0.0466588864013069,-0.0646782676877686
0506,73,IC3,0.16352982537925287,0.08157602533990607,-0.021607043740006965
0506,74,IC1,0.05446298290163301,-0.06468974874442321,-0.0038784202505393814
0506,74,IC2,0.031361977800030486,0.04287296830042156,-0.05954739842417981
0506,74,IC3,0.1547938228537109,0.09296419180632157,-0.0658409175738009
