analysis,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
AG3_joint_fasting,SOMATIC_SCORE,union,A_FROZEN_PC2_FZ,0.0183458995604124,0.0489880933699503,-0.092472866748248,0.129164665869073,0.716706091005685,0.860047309206822
AG3_joint_fasting,SOMATIC_SCORE,union,A_FROZEN_PC3_FZ,0.135845570657983,0.0528837951687059,0.0162141146211413,0.255477026694824,0.0302494618223061,0.0907483854669183
AG3_joint_fasting,SOMATIC_SCORE,union,G3_FROZEN_PC1_FZ,0.0966686934600196,0.151237189492289,-0.245453598031431,0.43879098495147,0.538627880065004,0.8079418200975059
AG3_joint_fasting,SOMATIC_SCORE,union,G3_FROZEN_PC2_FZ,0.0948759641877586,0.0855377330677543,-0.0986238313609827,0.2883757597365,0.296113570381866,0.592227140763732
AG3_joint_fasting,SOMATIC_SCORE,union,G3_FROZEN_PC3_FZ,-0.001595284207018,0.0521516114295598,-0.119570425553865,0.116379857139829,0.976264636870887,0.976264636870887
AG3_joint_fasting,PHQ9_TOTAL,all_PCs,A_FROZEN_PC1_FZ,-0.402966584638697,0.0959134023207148,-0.614070559800489,-0.191862609476905,0.0014821873409253,0.0088931240455518
AG3_joint_fasting,PHQ9_TOTAL,all_PCs,A_FROZEN_PC2_FZ,0.0189024255853533,0.0968051286830468,-0.194164226066794,0.231969077237501,0.848747292748313,0.848747292748313
AG3_joint_fasting,PHQ9_TOTAL,all_PCs,A_FROZEN_PC3_FZ,0.237635660598755,0.0955746250724182,0.0272773291330404,0.44799399206447,0.0302287355327423,0.0604574710654846
AG3_joint_fasting,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC1_FZ,0.26559447965608,0.0949519069831566,0.0566067414637508,0.474582217848409,0.0173631380843959,0.0520894142531877
AG3_joint_fasting,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC2_FZ,0.144400354484417,0.114891022811111,-0.108473081750588,0.397273790719421,0.234842237506608,0.352263356259912
AG3_joint_fasting,PHQ9_TOTAL,all_PCs,G3_FROZEN_PC3_FZ,-0.0160961141679496,0.0780071158603922,-0.187788618558222,0.155596390222323,0.840293609199676,0.848747292748313
AG3_joint_fasting,PHQ9_TOTAL,union,A,-0.071623912693291,0.251375891767611,-0.64027568681018,0.497027861423598,0.782147541753529,
AG3_joint_fasting,PHQ9_TOTAL,union,G_HBA1C,0.192344928620912,0.352958508218424,-0.606102688915966,0.990792546157789,0.599029495387989,
AG3_joint_fasting,PHQ9_TOTAL,union,A_FROZEN_PC1_FZ,-0.42106918079444,0.10506530381115,-0.658743410372401,-0.183394951216478,0.0030745627009813,0.018447376205887798
AG3_joint_fasting,PHQ9_TOTAL,union,A_FROZEN_PC2_FZ,0.0079044363332569,0.096253468600538,-0.209836037105622,0.225644909772136,0.936347813257677,0.9363478132576771
AG3_joint_fasting,PHQ9_TOTAL,union,A_FROZEN_PC3_FZ,0.238045146913643,0.0936638650669098,0.0261627636571683,0.449927530170117,0.0316337024709461,0.0949011074128383
