population,adjustment,outcome,model,term,beta,se,ci_low,ci_high,p,p_BH_component_family
2021-2023,X0,PHQ9_TOTAL,union,G_HBA1C,0.184711279371727,0.471525511831066,-inf,inf,0.762312987884823,
2021-2023,X0,PHQ9_TOTAL,union,A_OI_PC1_FZ,-0.203759080719087,0.244786137841061,-inf,inf,0.558068083726356,0.8371021255895339
2021-2023,X0,PHQ9_TOTAL,union,A_OI_PC2_FZ,0.293499329623111,0.0722614976304895,-inf,inf,0.15368339487515,0.385759637618438
2021-2023,X0,PHQ9_TOTAL,union,A_OI_PC3_FZ,0.286102608178341,0.0650146135129903,-inf,inf,0.142251201077363,0.385759637618438
2021-2023,X0,PHQ9_TOTAL,union,G3_OI_PC1_FZ,0.176460111004592,0.360812380933891,-inf,inf,0.710427085728502,0.8525125028742024
2021-2023,X0,PHQ9_TOTAL,union,G3_OI_PC2_FZ,0.581192360471252,0.181680056840015,-inf,inf,0.192879818809219,0.385759637618438
2021-2023,X0,PHQ9_TOTAL,union,G3_OI_PC3_FZ,-0.0120472263430175,0.146251327501013,-inf,inf,0.947677562572896,0.947677562572896
2021-2023,X0,COGAFF_SUM,all_PCs,A_OI_PC1_FZ,0.0173534721061416,0.0919470240550996,-0.275262994879843,0.309969939092126,0.862347716159417,0.862347716159417
2021-2023,X0,COGAFF_SUM,all_PCs,A_OI_PC2_FZ,0.180791150259577,0.0464196564406733,0.0330630861274166,0.328519214391736,0.0300267378307421,0.09008021349222631
2021-2023,X0,COGAFF_SUM,all_PCs,A_OI_PC3_FZ,0.117609014380424,0.0455352822539822,-0.0273045763888127,0.262522605149661,0.0815806849198675,0.163161369839735
2021-2023,X0,COGAFF_SUM,all_PCs,G3_OI_PC1_FZ,0.1232602081417,0.069739324317628,-0.0986814468659175,0.345201863149318,0.175317160150147,0.2629757402252205
2021-2023,X0,COGAFF_SUM,all_PCs,G3_OI_PC2_FZ,0.301519479052252,0.0679728790136857,0.0851994413756509,0.517839516728853,0.0212950640694376,0.09008021349222631
2021-2023,X0,COGAFF_SUM,all_PCs,G3_OI_PC3_FZ,0.0119877087969974,0.0611268885112795,-0.182545331699214,0.206520749293208,0.857055204259322,0.862347716159417
2021-2023,X0,COGAFF_SUM,union,A,-0.308826819246721,0.288434014848693,-inf,inf,0.478271769596643,
2021-2023,X0,COGAFF_SUM,union,G_HBA1C,0.237498410308891,0.219876734026038,-inf,inf,0.475484540811762,
2021-2023,X0,COGAFF_SUM,union,A_OI_PC1_FZ,-0.0656173680469228,0.147529660482077,-inf,inf,0.733574909762525,0.835700043533817
2021-2023,X0,COGAFF_SUM,union,A_OI_PC2_FZ,0.160647710374006,0.046870622045295,-inf,inf,0.18072386754927,0.500543235494422
2021-2023,X0,COGAFF_SUM,union,A_OI_PC3_FZ,0.115056349328499,0.0477154224250132,-inf,inf,0.250271617747211,0.500543235494422
2021-2023,X0,COGAFF_SUM,union,G3_OI_PC1_FZ,-0.049012960541303,0.185677233322797,-inf,inf,0.835700043533817,0.835700043533817
2021-2023,X0,COGAFF_SUM,union,G3_OI_PC2_FZ,0.354781036897508,0.100207100059038,-inf,inf,0.175246807118597,0.500543235494422
2021-2023,X0,COGAFF_SUM,union,G3_OI_PC3_FZ,0.0540134073676289,0.0799986727509883,-inf,inf,0.621929033115005,0.835700043533817
