cycle,bootstrap,component,A,G,AG,aligned_component
0506,108,IC1,0.0479865159847494,0.0966824984596873,-0.084344224244473,IC1
0506,109,IC1,0.0077175542513117,0.0519081838901614,-0.0342592879244758,IC1
0506,110,IC1,0.1414911369246494,0.0372268033068769,-0.0453661717713312,IC1
0506,111,IC1,0.0579424294709508,-0.0241753172938959,-0.0247673122134419,IC1
0506,112,IC1,0.016661065959428,0.0092030010221502,-0.0094159609366899,IC1
0506,113,IC1,0.0086321043560166,-0.0365507996859077,-0.0482795220102269,IC1
0506,114,IC1,0.1515713017260601,0.0512548052889238,-0.0701032675933687,IC1
0506,115,IC1,0.0309977268754309,0.0707880095047339,-0.0703552323755389,IC1
0506,116,IC1,0.0420623960702317,0.0533756351979331,0.0417251514355555,IC1
0506,117,IC1,0.0733218970827156,0.0290054549839696,-0.0055157559704963,IC1
0506,118,IC1,0.0211586469174432,0.0725085783090316,-0.0636683859433018,IC1
0506,119,IC1,-0.0508280501039351,-0.0117114924090867,-0.0583389294508068,IC1
0506,120,IC1,0.1024278666052084,0.0454319802286856,-0.0652211602706879,IC1
0506,121,IC1,0.0037578946353783,0.0115716042262982,-0.0162598604188895,IC1
0506,122,IC1,-0.0128486196911293,0.0185456577840984,-0.0230470044561796,IC1
0506,123,IC1,0.00738104497536,0.0772950730795151,-0.0569924063271529,IC1
0506,124,IC1,0.0947826715542132,0.0830667911829043,-0.0590990809691425,IC1
0506,125,IC1,0.0634131941141943,0.0254426742508812,-0.0564590321897054,IC1
0506,126,IC1,0.0958127028188634,0.033589611517321,0.0150565136849513,IC1
0506,127,IC1,-0.060312839216826,0.0567425455480278,-0.0308184547603675,IC1
0506,128,IC1,-0.0422376374825215,0.0420264289553638,-0.0224550495432972,IC1
0506,129,IC1,0.0333867556990025,0.0758973946429783,-0.0956551399405891,IC1
0506,130,IC1,0.0304158589513632,0.0764033818415843,-0.0966195515217452,IC1
0506,131,IC1,0.0384490709207477,0.0237122837595467,-0.1218941516999392,IC1
0506,132,IC1,-0.0236096141091901,0.0214713864326633,-0.031904161926069,IC1
0506,133,IC1,0.0661547881564775,-0.0049891498084296,-0.0663941695889122,IC1
0506,134,IC1,0.0560535696970648,0.0382870978468451,-0.0296590153383591,IC1
0506,135,IC1,0.0254992679108154,0.0188071410518107,-0.0621179507515301,IC1
0506,136,IC1,0.0770304099473705,-0.0390423571404003,-0.0360510428811493,IC1
0506,137,IC1,0.067662970600588,0.0048009289046765,-0.0502339145757792,IC1
0506,138,IC1,0.1114386326786903,-0.0001170548087671,-0.1218843142597079,IC1
0506,139,IC1,-0.0081071470172401,-0.0446234488105163,-0.1070654627641188,IC1
0506,140,IC1,0.0347776052177375,-0.0215367796305886,-0.0119089235972305,IC1
0506,141,IC1,0.0319331805020474,0.0278691682714406,-0.0183054702386872,IC1
0506,142,IC1,0.0420755321649919,0.0119971974075556,-0.0545366648579064,IC1
0506,143,IC1,0.0502413761251002,0.044557376070971,-0.0591475366269719,IC1
0506,144,IC1,0.2257445853816605,0.0847658868814344,-0.071650819180869,IC1
0506,145,IC1,0.0673250524539187,0.031656414501159,-0.0141880591695839,IC1
0506,146,IC1,0.0577398420933728,0.0187466991263547,-0.0268124089396724,IC1
0506,147,IC1,0.024994395803872,-0.0002791032822044,-0.08375019364079,IC1
0506,148,IC1,0.0558402127628976,0.0149740849055382,-0.0459247332446752,IC1
0506,149,IC1,0.0216414458461797,0.0288917375845795,-0.0349462204989285,IC1
0506,150,IC1,-0.0364868232101087,-0.0289825443446334,-0.0157612931326817,IC1
0506,151,IC1,0.1498206141423784,0.033677288181836,-0.0846435805420886,IC1
0506,152,IC1,0.0804364744336948,0.0544282019777635,-0.031317658855217,IC1
0506,153,IC1,0.0527278972042472,0.0345414313615912,-0.0593955365868535,IC1
0506,154,IC1,0.0910161645411783,0.0190660825627399,-0.0329002237230051,IC1
0506,155,IC1,0.1106644966544282,0.0386250202264393,-0.0579359933065566,IC1
